Food,Category,Portion_g,Protein_g,Fat_g,Carbs_g,Calories_kcal
Vegetable Khichdi,Dinner,91,2.9,2.2,2.1,40
Apple + Peanut Butter,Snack,36,6.2,2.2,8.8,80
Rice Congee,International,84,5.5,5.1,10.7,111
Cauliflower,Vegetable,48,6.9,0.5,12.4,82
Lentil Soup,Dinner,59,5.8,0.3,22.9,118
Baked Salmon,Dinner,94,5.4,4.1,21.0,142
Vegetable Rice,Lunch,38,7.0,5.5,18.3,151
French Toast,Breakfast,52,5.1,1.3,13.4,86
Boiled Egg,Snack,39,2.2,5.6,17.6,130
Cucumber Slices,Snack,87,6.5,2.8,22.0,139
Vegetable Curry,Dinner,37,4.0,4.8,21.6,146
Vegetable Curry,Dinner,47,9.4,6.5,16.3,161
Soft Taco,International,33,3.9,2.2,19.9,115
Pasta,Lunch,58,8.2,1.3,7.8,76
Whole Milk,Drink,67,7.8,5.6,5.8,105
Baked Potato with Cheese,Dinner,63,9.3,2.1,18.9,132
Berries Mix,Fruit,44,2.3,0.4,21.9,100
Mashed Potatoes,Lunch,56,2.3,1.5,22.0,111
Lentil Stew,Lunch,93,3.0,4.2,17.4,119
Zucchini,Vegetable,38,2.6,1.4,24.5,121
Mashed Potatoes,Lunch,94,5.2,5.0,7.9,97
Mini Meatballs,Lunch,82,6.9,4.0,6.5,90
Broccoli,Vegetable,93,9.5,5.0,2.5,93
Mini Meatballs,Lunch,75,6.1,0.2,19.9,106
Waffles,Breakfast,51,1.6,6.6,15.0,126
Cabbage,Vegetable,68,0.6,4.1,12.6,90
Yogurt Drink,Snack,42,6.8,1.2,7.4,68
Smoothie (Fruit),Drink,83,8.7,4.1,20.1,152
Dosa,International,49,4.3,5.2,9.9,104
Baked Sweet Potato,Lunch,72,1.2,6.8,18.2,139
Chicken Breast,Lunch,47,3.7,3.5,6.7,73
Miso Soup,International,51,9.9,2.2,10.8,103
Soft Taco,International,77,8.1,4.4,11.1,116
Papaya,Fruit,56,5.0,0.7,22.5,116
Pear,Fruit,77,0.9,6.3,3.3,74
Toast,Breakfast,33,0.8,4.9,24.3,144
Smoothie (Fruit),Drink,59,7.4,1.3,22.2,130
Pasta,Lunch,93,4.0,5.2,13.9,118
Pineapple,Fruit,63,5.3,5.1,20.3,148
Zucchini,Vegetable,42,9.3,6.0,12.9,143
Oatmeal,Breakfast,48,4.1,6.0,23.6,165
Apple Juice,Drink,99,9.3,3.8,3.4,85
Bell Pepper,Vegetable,59,4.3,1.5,20.0,111
Mango,Fruit,81,4.4,1.7,2.6,43
Berry Smoothie,Drink,65,4.9,5.2,4.4,84
Pancake,Breakfast,91,1.4,6.2,16.8,129
Buttermilk,Drink,97,5.4,6.2,8.5,111
French Toast,Breakfast,83,7.6,2.6,20.6,136
Grapes,Fruit,91,9.5,3.7,3.6,86
Apple,Fruit,38,9.7,4.2,6.5,103
Berries Mix,Fruit,93,1.0,1.6,24.6,117
Mini Sandwich,Snack,76,9.6,7.0,2.6,112
Rice Congee,International,77,3.3,4.5,17.3,123
Mini Meatballs,Lunch,71,6.9,6.2,21.8,171
Vegetable Soup,Lunch,30,0.8,4.6,4.8,64
Zucchini,Vegetable,98,1.1,2.5,11.7,74
Pasta,Lunch,91,6.2,0.7,11.3,76
Cucumber Slices,Snack,94,3.8,3.8,12.9,101
Mini Meatballs,Lunch,59,7.0,2.9,24.3,151
Banana,Fruit,90,2.9,3.9,8.0,79
Green Beans,Vegetable,48,8.0,7.0,11.7,142
Mini Quesadilla,International,36,1.1,2.2,16.5,90
Oat Milk,Drink,54,8.9,0.4,7.1,68
Cabbage,Vegetable,34,4.1,2.5,16.7,106
Mild Noodles,International,45,7.2,2.0,24.6,145
Hot Cocoa,Drink,38,5.0,1.7,6.1,60
Baked Sweet Potato,Lunch,84,5.6,5.5,5.8,95
Hummus with Veggies,International,68,9.9,2.5,13.9,118
Pear,Fruit,32,6.5,0.4,14.8,89
Tofu Stir Fry,Dinner,62,8.5,3.1,14.0,118
Whole Milk,Drink,54,5.0,1.3,22.1,120
Papaya,Fruit,59,4.4,2.3,19.3,116
Soy Milk,Drink,68,8.6,2.2,21.3,139
Apple,Fruit,54,3.4,0.6,21.0,103
Scrambled Egg,Breakfast,68,7.0,1.5,2.9,53
Apple Juice,Drink,85,8.3,4.1,24.4,168
Lentil Stew,Lunch,39,2.3,4.2,9.3,84
Vegetable Khichdi,Dinner,92,2.6,4.9,10.4,96
Lentil Soup,Dinner,54,2.9,0.7,2.2,27
Pancake,Breakfast,38,2.4,2.6,3.6,47
Baked Sweet Potato,Lunch,60,7.7,0.8,24.6,136
Vegetable Stir Fry,Dinner,71,5.4,6.0,22.3,165
Idli,International,68,0.6,4.1,21.0,123
Mild Noodles,International,77,3.8,3.7,16.3,114
Apple,Fruit,33,4.6,5.0,15.6,126
Vegetable Soup,Lunch,91,6.3,3.1,15.9,117
Mini Quesadilla,International,38,3.4,1.5,19.7,106
Dosa,International,96,6.5,6.5,11.6,131
Baked Salmon,Dinner,79,5.7,5.1,7.4,98
Mini Meatballs,Lunch,97,0.6,4.6,10.4,85
Baked Potato with Cheese,Dinner,80,1.8,6.8,8.1,101
Papaya,Fruit,89,4.6,4.9,12.9,114
Yogurt Drink,Snack,53,8.0,5.0,19.9,157
Oatmeal,Breakfast,65,1.5,2.5,3.3,42
Apple Juice,Drink,94,4.3,5.9,24.5,168
Oat Milk,Drink,72,8.1,6.4,8.7,125
Corn,Vegetable,77,9.6,2.0,8.5,90
Cucumber Slices,Snack,55,8.3,4.1,15.5,132
Pear,Fruit,92,5.5,5.0,6.5,93
Toast,Breakfast,42,6.1,4.4,22.8,155
Baked Potato with Cheese,Dinner,85,2.1,2.0,19.9,106
Rice Congee,International,100,1.3,6.9,22.6,158
Vegetable Curry,Dinner,41,2.9,0.4,12.2,64
Grapes,Fruit,52,8.1,3.3,11.9,110
Rice Cake with Hummus,Snack,92,2.4,4.7,12.2,101
Oat Milk,Drink,52,6.8,1.3,24.6,137
Corn,Vegetable,41,7.2,6.2,10.5,127
Yogurt Drink,Snack,49,3.1,4.2,12.6,101
Bell Pepper,Vegetable,68,7.4,6.0,20.1,164
Baked Potato with Cheese,Dinner,44,4.6,4.7,4.7,80
Cheese Cubes,Snack,46,4.5,4.2,5.4,77
Chapati,International,67,3.2,3.3,21.3,128
Zucchini,Vegetable,63,5.3,5.5,19.9,150
Vegetable Curry,Dinner,47,1.6,5.0,24.5,149
Corn,Vegetable,70,2.9,2.5,16.9,102
Oat Milk,Drink,74,6.9,2.4,6.5,75
Vegetable Soup,Lunch,51,8.9,5.1,5.6,104
Mashed Potatoes,Lunch,50,4.4,1.0,20.7,109
Soy Milk,Drink,78,9.3,1.3,24.9,148
Oatmeal,Breakfast,98,8.0,0.5,20.5,118
Chapati,International,47,9.7,5.8,23.4,185
Oat Milk,Drink,64,8.7,5.6,16.2,150
Oatmeal,Breakfast,36,2.6,6.2,4.4,84
Apple Juice,Drink,55,5.9,3.9,11.2,104
Banana Milkshake,Drink,63,2.3,3.4,23.2,133
Watermelon,Fruit,84,0.9,6.8,4.2,82
Pasta,Lunch,44,6.2,2.1,23.4,137
Bell Pepper,Vegetable,97,7.8,0.4,2.5,45
Chapati,International,35,1.9,0.3,2.1,19
Pancake,Breakfast,65,2.6,0.9,24.5,116
French Toast,Breakfast,86,8.3,6.4,20.9,174
Toast,Breakfast,37,1.1,3.6,13.9,92
Bell Pepper,Vegetable,82,1.6,0.2,6.6,35
Oat Milk,Drink,36,8.0,6.9,14.3,151
Lentil Stew,Lunch,94,7.4,4.7,3.4,86
Watermelon,Fruit,67,4.5,3.7,12.7,102
French Toast,Breakfast,50,7.6,1.3,16.6,108
Pancake,Breakfast,68,8.3,2.8,13.8,114
Mini Meatballs,Lunch,52,8.7,0.3,2.6,48
Boiled Egg,Snack,42,5.9,2.2,19.4,121
Hummus with Veggies,International,47,3.0,0.7,18.2,91
Broccoli,Vegetable,86,6.2,4.1,20.7,144
Soy Milk,Drink,42,4.9,1.8,2.5,46
Corn,Vegetable,71,6.4,5.0,10.8,114
Mild Noodles,International,36,5.4,5.5,16.1,136
Mini Meatballs,Lunch,95,8.3,1.0,11.9,90
Rice Congee,International,46,4.6,6.4,24.0,172
Mango,Fruit,41,7.1,2.8,12.1,102
Baked Potato with Cheese,Dinner,41,2.5,3.6,23.8,138
Lentil Stew,Lunch,88,6.0,1.2,22.6,125
Coconut Water,Drink,83,9.4,2.3,3.5,72
Pineapple,Fruit,32,9.1,4.9,9.2,117
Mild Noodles,International,33,4.9,0.8,8.1,59
Vegetable Khichdi,Dinner,35,7.8,5.6,13.8,137
Apple,Fruit,71,4.2,1.5,13.6,85
Soy Milk,Drink,68,5.0,4.1,16.1,121
Green Beans,Vegetable,30,5.9,4.6,13.5,119
Chapati,International,74,5.8,1.2,19.2,111
Rice Congee,International,62,2.9,4.5,5.6,74
Baked Potato with Cheese,Dinner,61,9.6,0.3,20.9,125
Rice Congee,International,46,8.3,1.6,17.7,118
Soy Milk,Drink,70,7.5,4.7,7.5,102
Cucumber Slices,Snack,73,5.3,3.0,21.1,133
Broccoli,Vegetable,62,8.2,2.7,9.8,96
French Toast,Breakfast,38,3.7,1.5,6.8,56
Crackers,Snack,50,7.7,0.2,14.1,89
Mini Waffles,Snack,100,8.3,6.6,5.7,115
Miso Soup,International,99,3.6,3.7,24.6,146
Mashed Potatoes,Lunch,91,5.8,3.5,12.6,105
Coconut Water,Drink,70,9.0,5.6,5.4,108
Bell Pepper,Vegetable,44,5.5,5.5,18.0,144
Vegetable Rice,Lunch,63,9.3,2.3,7.1,86
Corn,Vegetable,54,3.8,0.3,10.8,61
Vegetable Soup,Lunch,90,7.8,5.9,8.8,120
Peas,Vegetable,71,7.5,5.8,14.1,139
Cheese Cubes,Snack,90,10.0,2.8,23.7,160
Cabbage,Vegetable,39,2.1,0.3,16.0,75
Mini Quesadilla,International,58,4.0,1.2,10.6,69
Lentil Stew,Lunch,93,4.6,0.6,17.6,94
Pasta with Veggies,Dinner,56,4.2,4.9,7.8,92
Zucchini,Vegetable,49,3.6,2.6,15.6,100
Pineapple,Fruit,39,2.4,0.4,9.3,50
Waffles,Breakfast,66,6.1,4.5,9.5,103
Hot Cocoa,Drink,89,4.3,1.5,14.1,87
Pasta,Lunch,81,2.0,1.2,10.7,62
Vegetable Khichdi,Dinner,95,1.1,5.4,21.7,140
Apple + Peanut Butter,Snack,77,7.6,0.3,5.1,54
Waffles,Breakfast,87,2.2,3.1,12.8,88
Idli,International,93,3.0,0.4,14.4,73
Vegetable Sushi,International,36,2.0,3.0,2.8,46
Baked Sweet Potato,Lunch,78,8.0,6.2,11.6,134
Banana Milkshake,Drink,58,1.2,2.8,3.1,42
Oatmeal,Breakfast,91,9.2,4.8,20.8,163
Tofu Stir Fry,Dinner,71,5.3,4.8,8.9,100
Oatmeal,Breakfast,52,7.1,3.3,10.3,99
Vegetable Soup,Lunch,70,3.8,1.1,19.6,104
Mini Meatballs,Lunch,31,7.3,4.7,22.9,163
Vegetable Sushi,International,87,5.3,0.4,21.6,111
Buttermilk,Drink,91,5.1,5.7,22.3,161
Mini Quesadilla,International,86,5.4,1.1,8.5,66
Hummus with Veggies,International,58,9.5,5.8,22.5,180
Miso Soup,International,42,2.1,2.1,21.3,112
Chicken Breast,Lunch,34,2.2,1.1,22.5,109
Cabbage,Vegetable,84,1.0,6.4,3.9,77
Pasta with Veggies,Dinner,48,4.9,3.0,3.6,61
Vegetable Soup,Lunch,74,9.8,0.6,19.1,121
Banana Milkshake,Drink,85,4.7,1.6,17.2,102
Lentil Stew,Lunch,63,1.7,6.3,5.0,84
French Toast,Breakfast,31,2.9,3.7,15.0,105
Baked Potato with Cheese,Dinner,94,5.8,3.1,7.4,81
Apple + Peanut Butter,Snack,50,6.0,2.7,20.2,129
Zucchini,Vegetable,83,5.5,0.6,9.3,65
Vegetable Khichdi,Dinner,50,9.7,5.4,2.7,98
Peach,Fruit,69,3.8,6.1,21.8,157
Pineapple,Fruit,59,6.6,1.0,18.1,108
Fruit Smoothie,Snack,76,3.7,1.8,22.0,119
Banana Milkshake,Drink,49,6.6,6.9,7.4,118
Boiled Egg,Snack,42,5.8,3.5,14.4,112
Bell Pepper,Vegetable,90,1.4,3.4,20.0,116
Oatmeal,Breakfast,57,3.4,6.1,12.5,118
Vegetable Soup,Lunch,44,8.9,5.5,18.4,159
Yogurt Drink,Snack,53,0.6,0.7,22.5,99
Apple,Fruit,73,8.1,4.9,24.2,173
Vegetable Sushi,International,33,8.3,3.0,2.4,70
Berries Mix,Fruit,32,4.4,0.2,24.7,118
Scrambled Egg,Breakfast,34,2.9,6.8,22.5,163
Baked Sweet Potato,Lunch,98,9.1,5.8,24.8,188
Vegetable Rice,Lunch,89,8.8,5.5,14.5,143
Soy Milk,Drink,40,5.9,3.0,20.4,132
French Toast,Breakfast,78,0.8,3.1,6.1,56
Cheese Cubes,Snack,68,9.6,3.1,11.2,111
French Toast,Breakfast,33,8.6,6.5,4.6,111
Scrambled Egg,Breakfast,68,7.6,1.6,22.8,136
Vegetable Soup,Lunch,80,8.7,1.4,20.3,129
Smoothie (Fruit),Drink,34,5.8,0.9,18.6,106
Pasta with Veggies,Dinner,66,1.5,4.2,18.5,118
Cabbage,Vegetable,47,0.6,5.4,17.2,120
Dosa,International,76,3.0,0.2,3.0,26
Baked Potato with Cheese,Dinner,54,5.8,5.1,15.5,131
Waffles,Breakfast,62,2.3,6.1,23.3,157
Banana,Fruit,74,3.5,2.1,9.3,70
Pancake,Breakfast,63,1.4,1.3,14.5,75
Porridge,Breakfast,67,3.3,5.4,24.2,159
Coconut Water,Drink,81,5.2,4.5,9.8,100
Vegetable Sushi,International,44,2.0,6.9,18.9,146
Rice Cake with Hummus,Snack,87,7.7,0.1,12.6,82
Vegetable Sushi,International,74,6.9,4.4,11.9,115
